"","country","year","unemployment_rate","vacancy_rate","active_pop","active_pop_growth","vacancy_stock_eurostat"
"202","Hungary","2006",7.475,0.752381397962411,4221250,NA,31760.4758451789
"203","Hungary","2007",7.425,0.868455821697017,4184500,-0.344102759800256,36340.5958624035
"204","Hungary","2008",7.825,0.811599062257911,4143000,-0.167067932151407,33620.892327602
"205","Hungary","2009",9.725,0.53510011069264,4280250,0.865511872395907,22905.0348276541
"206","Hungary","2010",10.8,0.623405114055974,4311750,0.145619978470874,26879.7326568472
"207","Hungary","2011",10.65,0.656128333780499,4334000,0.225259441137731,28435.493480105
"208","Hungary","2012",10.675,0.593690020643078,4398000,0.399969286859832,26111.6766460387
"209","Hungary","2013",9.8,0.733308956471941,4436750,0.279955387297761,32524.2151094259
"210","Hungary","2014",7.525,0.819881046183889,4531500,0.427837384191732,37157.5727409282
"211","Hungary","2015",6.6,0.961781094186857,4606500,0.442244257953249,44314.9684663323
"212","Hungary","2016",4.975,1.17113575510262,4673750,0.338475874234053,54744.436813376
"213","Hungary","2017",4.025,1.44024025490709,4692500,0.0481007751539438,67593.4754296082
"214","Hungary","2018",3.6,1.75179728862515,4720500,0.100966169892384,82696.7669798827
"215","Hungary","2019",3.325,1.65068475883764,4724250,-0.0527703545424711,77985.3863010744
"216","Hungary","2020",4.125,1.27704496505542,4714750,0.0378028234481717,60213.0547624814
"217","Hungary","2021",4.05,1.56420227766755,4729500,0.180710628849946,74005.3773635293
"218","Hungary","2022",3.625,1.86814562883289,4760250,0.131519281309973,88920.7588641335
"219","Ireland","2008",6.825,0.579259216551947,2311750,NA,13400
"220","Ireland","2009",12.675,0.255224863726472,2260500,-0.802025135285559,5775
"221","Ireland","2010",14.575,0.332282677210135,2204750,-0.485771624354073,7325
"222","Ireland","2011",15.425,0.367787822171123,2181750,-0.0561180988632129,8025
"223","Ireland","2012",15.525,0.40833764357754,2173750,-0.183744464766535,8875
"224","Ireland","2013",13.75,0.480205913669838,2191250,0.33429347334149,10525
"225","Ireland","2014",11.9,0.524253210521249,2198250,0.125643703555066,11525
"226","Ireland","2015",9.95,0.700187663626434,2217500,0.282413895432487,15525
"227","Ireland","2016",8.4,0.737201713985207,2258250,0.370217810804021,16650
"228","Ireland","2017",6.725,0.806144476023454,2279500,0.319255879011331,18375
"229","Ireland","2018",5.775,0.826223848150436,2311500,0.34846388909439,19100
"230","Ireland","2019",5.025,0.803480877138836,2355750,0.536082979521406,18925
"231","Ireland","2020",5.875,0.665062979674188,2303500,-0.323991955238979,15325
"232","Ireland","2021",6.225,1.03932131207487,2443000,2.07485520013305,25525
"233","Ireland","2022",4.475,1.26457459727788,2562750,0.5226024856215,32400
"234","Italy","2004",8.025,0.95,23955500,NA,NA
"235","Italy","2005",7.7,0.775,23946250,-0.0351529032917148,NA
"236","Italy","2006",6.8,0.9,24022500,-0.00247680267117936,NA
"237","Italy","2007",6.15,1.075,24005000,0.165429258837985,NA
"238","Italy","2008",6.725,0.85,24357750,0.185112680096438,NA
"239","Italy","2009",7.9,0.5,24066250,-0.324581707122562,NA
